#id,AGE,AGE (한글),MURDER TOOL,MURDER TOOL (한글),CLOTHE,CLOTHE (한글),SHOES,SHOES (한글),HEADWEAR,HEADWEAR (한글),ACCESSORY,ACCESSORY (한글),JOB,JOB (한글),TIME,TIME (한글),PLACE,PLACE (한글),SOUND,SOUND (한글),TRACE,TRACE (한글)
55,20s,"20대 초반",Monkey Wrench,"빨간색 12인치 몽키 스패너",Duck Patch Hoodie,"소매에 노란색 오리 패치가 박힌 후드집업",Chess Patteren loafer,"체스판 무늬의 슬립온",Mid-long Ponytail,"중단발의 낮게 묶은 포니테일",Thick Chain Nechlace,"은색 굵은 체인 목걸이",Chef,"요리사",Deep Dawn,"신음 참는 소리",Motel in Downtown,"오전 3시",Bearing Groaning,"번화가에 위치한 빌딩 7층의 모텔",Nail Tips,"네일팁 몇 개"
56,20s,"20대 초반",Wood Branch,"길이 1m의 나뭇가지",Yellow Short Cardigan,"노란색 짧은 니트 가디건",White Running Shoes,"하얀색/파란색 배색의 유명 브랜드 러닝화",Mid-long Straight Hair,"중단발의 검은 생머리",Millitary Backpack,"군용 밀리터리 백팩",Athlete,"운동선수",Around Midnight,"변기 물 내리는 소리",Small Old Supermarket,"밤 12시",Toilet Flush Sound,"동네의 작고 낡은 슈퍼마켓",Disposable Lighter,"다방 전화번호가 쓰여 있는 일회용 라이터"
57,50s,"50대 초반",Pesticide,"페트병에 담겨 있는 농약",Printed White Tshirt,"해변 사진이 나염되어 있는 흰색 반팔",Brown Leather Loafer,"연갈색 무광 가죽 로퍼",Low Ponytail,"장발의 낮게 묶은 포니테일",Black Disposable Mask,"검정색 일회용 마스크",Cleaner,"청소부",Morning,"무언가를 자르는 소리",Middle School,"오전 9시",Cutting Something,"지역 학군에서 가장 유명한 중학교",Black Hair,"검정색 머리카락"
58,30s,"30대 중반",Hydrochloric Acid,"염산",Vest With Slits,"옆부분에 트임이 있는 긴 흰색 니트 조끼",White Basketball Shoes,"흰색 농구화",Mid-long Straight Hair,"중단발의 검은 생머리",Hand Prothetics,"의수",Sanitation Worker,"환경미화원",Night,"목재 둔기가 떨어지는 소리",New Guest House,"오후 6시",Wooden Weapon Falling,"바닷가에 위치한, 청년들이 운영하는 게스트 하우스",Fly,"파리 시체 한 마리"
59,20s,"20대 초반",Mercury,"수은",Crop Vest Knit,"옆부분에 트임이 있는 크롭 기장의 초록색 조끼",Chess Patteren loafer,"체스판 무늬의 슬립온",Comma Hairstyle,"검은색 쉼표 머리",Silver Stainless Ring,"은색 써지컬 반지",Firefighter,"소방관",Late Night,"변기 물 내리는 소리",Officetel Underground Parkinglot,"오후 9시",Toilet Flush Sound,"오피스텔의 지하 주차장",Empty Cartridge,"탄피 몇 개"
60,20s,"20대 초반",Police Nightstick,"검은색 경찰 곤봉",Grey Hiking Jacket,"회색/분홍색 배색의 등산복",Ivory Converse,"아이보리색 컨버스 운동화",Mid-long Ponytail,"중단발의 낮게 묶은 포니테일",Skull Shaped Ring,"해골 모양으로 조각된 은색 반지",Police Officer,"경찰",Late Night,"세탁기 소리",Night Mountain,"오후 9시",Washing Machine Sound,"야산 깊은 곳",Nail Tips,"네일팁 몇 개"
61,20s,"20대 초반",Heavy Glass Ashtray,"화려하게 장식된 무거운 유리 재떨이",Ivy League Hoodie,"해외 대학교 로고와 이름이 수놓아진 붉은색 후드 티셔츠",White Running Shoes,"하얀색/파란색 배색의 유명 브랜드 러닝화",Long Hair,"어깨선을 넘는 장발",Cross Charm Bracelet,"십자가 모양의 장식이 달린 명품 팔찌",Nurse,"간호사",Deep Dawn,"세탁기 소리",Famous Traditional Market,"오전 3시",Washing Machine Sound,"지방의 유명 여행지로 유명한 재래 시장",Maggot,"이제 막 태어난 작은 구더기"
62,30s,"30대 중반",Monkey Wrench,"빨간색 12인치 몽키 스패너",Jersey Zip Hoodie,"저지 소재 트레이닝복",White Running Shoes,"하얀색/파란색 배색의 유명 브랜드 러닝화",Short Hair,"숏컷",Black Backpack,"검은색 백팩",Mechanic,"정비공",Late Afternoon,"고양이 우는 소리",Motel in Downtown,"오후 3시",Cat Meow,"번화가에 위치한 빌딩 7층의 모텔",Arson Attempt,"방화 시도의 흔적"
63,20s,"20대 초반",Computer Monitor,"S사의 26인치 컴퓨터 모니터",Cotton Zip Hoodie,"면 소재 트레이닝복",Black Low Sneakers,"검은색 낮은 운동화",Long Curly Hair,"장발의 곱슬머리",Leg Prosthetics,"의족",Mart Cashier,"마트 직원",Morning,"껌 씹는 소리",Big Square Onstage,"오전 9시",Chewing Gum,"넓은 광장에 설치된 야외 무대 위",Scorch Mark,"불에 그슬린 자국"
64,20s,"20대 초반",Irregular Shaped Rock,"모양이 일정치 않은 10kg 정도의 바위",Undershirt,"흰색 런닝 셔츠",White Stained Boots,"흰색의 얼룩진 8홀 가죽 워커",Two Block Haircut,"왁스로 손질된 검은색 투블럭 머리",Lip Piercing,"입술 피어싱",Firefighter,"소방관",Deep Dawn,"무언가를 자르는 소리",Old DVD room,"오전 3시",Cutting Something,"오래된 건물 3층에 있는 DVD방",Fibrous Tissues,"섬유 조직 몇 개"
65,70s,"70대 후반",Red Brick,"붉은색 벽돌",Old Denim Jacket,"명품이긴한데 오래되어 낡은 청자켓",Brown Flip Flop,"갈색 스팽글 장식 플립플랍",Pixie Cut,"앞머리가 있는 단정한 숏컷",Lip Piercing,"입술 피어싱",Janitor,"경비원",Early Morning,"사람들의 대화 소리",Self Service Bar,"오전 6시",People Having Conversation,"눈에 띄는 입구가 없어 찾기 힘든 무인 주점",Weapon With Fingerprint,"알 수 없는 지문이 묻어 있었던 그 흉기"
66,30s,"30대 중반",Old Circular Saw,"여러 번 사용한 듯한 낡은 원형 톱",Green Hiking Jacket,"연두색/회색 배색의 등산복",Strapped Leather Sandal,"스트랩이 두 개 달려 있는 검정색 가죽 샌들",Short Permed Hair,"밝은 갈색의 쉐도우 펌 커트 머리",Lion Shaped Ring,"사자 얼굴 모양으로 조각된 은색 반지",Mechanic,"정비공",Night,"피 토하는 소리",Members Only Studyroom,"오후 6시",Throw Up Blood,"학원가 건물 7층의 회원제 독서실",Lipstick Without Fingerprint,"지문이 발견되지 않았던 그 립스틱"
67,20s,"20대 초반",Green Paring Knife,"연두색 손잡이가 달린 과도",Grey Fleece Hoodie,"밝은 회색의 기모 후드집업",Black Low Sneakers,"검은색 낮은 운동화",Long Hair,"어깨선을 넘는 장발",Black Disposable Mask,"검정색 일회용 마스크",Engineer,"연구원",Morning,"사람들의 대화 소리",Dumpster,"오전 9시",People Having Conversation,"전국의 쓰레기들을 처리하는 쓰레기장",Feather,"옷 충전재로 사용되는 깃털 몇 가닥"
68,50s,"50대 초반",Pesticide,"페트병에 담겨 있는 농약",Khaki Tshirt,"카키색 무지 맨투맨",White Platform Sneakers,"키높이 흰색 스니커즈",Long Bleached hair,"장발의 탈색모",Cross Charm Bracelet,"십자가 모양의 장식이 달린 명품 팔찌",Director,"연출가",Deep Dawn,"헬리콥터 프로펠러 소리",New Guest House,"오전 3시",Propeller Sound,"바닷가에 위치한, 청년들이 운영하는 게스트 하우스",Maggot,"이제 막 태어난 작은 구더기"
69,40s,"40대 후반",Old Circular Saw,"여러 번 사용한 듯한 낡은 원형 톱",Crop Vest Knit,"옆부분에 트임이 있는 크롭 기장의 초록색 조끼",White Running Shoes,"하얀색/파란색 배색의 유명 브랜드 러닝화",Long Bleached hair,"장발의 탈색모",Electronics Anklet,"전자 발찌",Photographer,"포토그래퍼",Morning,"TV 속 스포츠 방송 중계 소리",Small Old Supermarket,"오전 9시",TV Sports Commentaries,"동네의 작고 낡은 슈퍼마켓",Excrements,"누가 쌌는지 모를 배설물"
70,30s,"30대 중반",Ice Pick,"나무 손잡이가 달린 얼음 송곳",Lace Blouse,"가슴 부분에 프릴이 달린 블라우스",Red Converse,"빨간색 컨버스 운동화",Pink Permed Hair,"밝은 분홍색의 커트 파마 머리",Wide Leather Bracelet,"손목을 다 덮는 가죽 팔찌",Nurse,"간호사",Early Morning,"휘파람 소리",Messy Dumpster Alley,"오전 6시",Whistle,"원룸촌의 더러운 분리수거장",Fly,"파리 시체 한 마리"
71,60s,"60대 중반",Machete,"길이 35cm 정도 되는 마체테",Black Hiking Jacket,"검은색/회색 배색의 등산복",White Platform Sneakers,"키높이 흰색 스니커즈",Perm With Bangs,"앞머리가 있는 갈색 파마 머리",Drop earrings,"아주 긴 드롭형 귀걸이",Guard,"경호원",Early Morning,"삽으로 흙을 파는 소리",Dumpster,"오전 6시",Digging With Shovel,"전국의 쓰레기들을 처리하는 쓰레기장",Skid Mark,"타이어 자국"
72,30s,"30대 중반",Green Utility Knife,"초록색 문구용 커터칼",Stripe Turtleneck Knit,"검은색/흰색 스트라이프 폴라 니트",Ivowy Suede Moccasin,"아이보리색 스웨이드 모카신",Comma Hairstyle,"검은색 쉼표 머리",Lion Shaped Ring,"사자 얼굴 모양으로 조각된 은색 반지",Model,"모델",Late Night,"나지막한 대화 소리",Closed Amusement Park,"오후 9시",Quite Conversation,"넓은 공원의 폐장된 유원지",Light Brown Hair,"밝은 갈색의 머리카락"
73,30s,"30대 중반",Sealed Wine Bottle,"와인이 들어 있는 750ml 와인 병",Pilot Bomber Jacket,"비닐 재질의 남색 항공 점퍼",Wellies,"종아리 중간까지 오는 고무 장화",Cherry Red Hair,"체리 레드 염색머리",Black Backpack,"검은색 백팩",Janitor,"경비원",Deep Dawn,"바닥에 침을 뱉는 소리",Members Only Studyroom,"오전 3시",Spit On Ground,"학원가 건물 7층의 회원제 독서실",Black Button,"검정색 단추"
74,40s,"40대 후반",Microgun XM214,"XM214 마이크로건",White Shirt,"붉은색 넥타이와 흰색 와이셔츠",Black Low Sneakers,"검은색 낮은 운동화",Short Hair,"숏컷",Lion Shaped Ring,"사자 얼굴 모양으로 조각된 은색 반지",Engineer,"연구원",Early Morning,"무언가를 자르는 소리",Semi Basement Apartment,"오전 6시",Cutting Something,"쇠창살 달린 창문이 있는 반지하 원룸",Lipstick Stained Cigarette,"립스틱이 묻은 담배꽁초"
75,50s,"50대 초반",Transparent Vodka Bottle,"투명한 500ML 보드카 병",Vest With Slits,"옆부분에 트임이 있는 긴 흰색 니트 조끼",Strapped Leather Sandal,"스트랩이 두 개 달려 있는 검정색 가죽 샌들",Perm With Bangs,"앞머리가 있는 갈색 파마 머리",Lion Shaped Ring,"사자 얼굴 모양으로 조각된 은색 반지",Guard,"경호원",Early Morning,"에어컨 조작 소리",Franchise Pub,"오전 6시",Remote Air Conditioner,"2층에 있는 프랜차이즈 술집",Fingerprints,"지문 몇 점"
76,40s,"40대 후반",Police Nightstick,"검은색 경찰 곤봉",Grey Knit Shirt,"카라가 있는 연한 회색 니트 셔츠",White Stained Boots,"흰색의 얼룩진 8홀 가죽 워커",Two Block Haircut,"왁스로 손질된 검은색 투블럭 머리",Lion Shaped Ring,"사자 얼굴 모양으로 조각된 은색 반지",Athletic Trainer,"스포츠 트레이너",Early Morning,"세탁기 소리",Old DVD room,"오전 6시",Washing Machine Sound,"오래된 건물 3층에 있는 DVD방",Fly,"파리 시체 한 마리"
77,60s,"60대 중반",Sniper Gun ULR338,"저격소총 ULR 338",Emerald Coach Jacket,"어두운 초록색의 코치 자켓",Chess Patteren loafer,"체스판 무늬의 슬립온",Long Hippie Perm,"장발의 밝은 갈색 히피펌",Wide Leather Bracelet,"손목을 다 덮는 가죽 팔찌",Guard,"경호원",Deep Dawn,"헬리콥터 프로펠러 소리",Party Room,"오전 3시",Propeller Sound,"새로 건축된 깔끔한 파티룸",Fly,"파리 시체 한 마리"
78,40s,"40대 후반",Red Brick,"붉은색 벽돌",Brown Wool Coat,"짙은 갈색의 울 코트",German Army Trainers,"갈색 고무 밑창의 흰색 독일군 스니커즈",Comma Hairstyle,"검은색 쉼표 머리",Lip Piercing,"입술 피어싱",Soldier,"군인",Night,"비명 소리",Messy Club,"오후 6시",Screaming,"사람이 너무 많았던 지저분한 클럽",Written In Blood,"핏자국으로 그린 표식"
79,20s,"20대 초반",Bereta APX,"권총 베레타 APX",Stripe Turtleneck Knit,"검은색/흰색 스트라이프 폴라 니트",Black Chelsea Boots,"검은색 첼시 부츠",Bald Hair,"대머리",Buddhist Bead Bracelet,"불교 나무 염주 팔찌",Soldier,"군인",Late Night,"가방 안 물건들이 흔들리는 소리",Officetel Underground Parkinglot,"오후 9시",Backpack Stuff Shaking,"오피스텔의 지하 주차장",Disposable Lighter,"다방 전화번호가 쓰여 있는 일회용 라이터"
80,30s,"30대 중반",Desert Eagle,"소음기가 달린 데저트 이글 권총",Crop Vest Knit,"옆부분에 트임이 있는 크롭 기장의 초록색 조끼",German Army Trainers,"갈색 고무 밑창의 흰색 독일군 스니커즈",Short Hair,"숏컷",Left Ear Pierced,"왼쪽 귀에 1개 이상의 피어싱",Sanitation Worker,"환경미화원",Night,"나지막한 대화 소리",Blackout Parking Lot,"오후 6시",Quite Conversation,"정전된 아파트 지하주차장",Maggot,"이제 막 태어난 작은 구더기"
81,20s,"20대 초반",Machine Gun K15,"기관총 K15",Printed White Tshirt,"해변 사진이 나염되어 있는 흰색 반팔",Black Long Boots,"검은색 10홀 가죽 워커",Short Curly Hair,"굵은 파마를 한 옅은 갈색의 숏컷",Black Disposable Mask,"검정색 일회용 마스크",Homeless,"노숙자",Early Morning,"플라스틱이 서로 부딪치는 소리",Motel in Downtown,"오전 6시",Plastic Beating Sound,"번화가에 위치한 빌딩 7층의 모텔",Nail Tips,"네일팁 몇 개"
82,50s,"50대 초반",Tetrodotoxin Powder,"테트로도톡신 가루",Grey Knit Shirt,"카라가 있는 연한 회색 니트 셔츠",Ivory Converse,"아이보리색 컨버스 운동화",Long Blonde hair,"장발의 금발 머리",Stud Earrings,"귀에 딱 붙는 귀걸이",Cleaner,"청소부",Deep Dawn,"어디에선가 들려오는 희미한 음악 소리",Dumpster,"오전 3시",Hazy Music,"전국의 쓰레기들을 처리하는 쓰레기장",Light Brown Hair,"밝은 갈색의 머리카락"
83,20s,"20대 초반",Sulfuric Acid,"황산",Long Sleeve Tshirt,"소매가 매우 긴 기장의 청록색 티셔츠",Strapped Leather Sandal,"스트랩이 두 개 달려 있는 검정색 가죽 샌들",Black Short Babyperm,"검은색의 짧은 베이비 펌 커트 머리",Skull Shaped Ring,"해골 모양으로 조각된 은색 반지",Banker,"은행원",Late Night,"자동차 브레이크 소리",Cargo Truck Back,"오후 9시",Skid Sounds,"H사 포터 트럭의 짐칸",Light Brown Hair,"밝은 갈색의 머리카락"
84,70s,"70대 후반",Submachine Gun K16,"기관단총 K16",Logo Printed Windbreaker,"유명 브랜드 로고가 있는 바람막이 점퍼",Strapped Leather Sandal,"스트랩이 두 개 달려 있는 검정색 가죽 샌들",Long Black Hair,"장발의 검은 생머리",Skull Shaped Ring,"해골 모양으로 조각된 은색 반지",Athletic Trainer,"스포츠 트레이너",Late Night,"런닝머신 돌아가는 소리",Ecological Park,"오후 9시",Running Treadmill,"사람들이 많이 오가는 저수지 옆 생태 공원",Used Toilet Paper,"사용한 휴지 몇 장"
85,30s,"30대 중반",Rusty Hammer,"검은색 고무 손잡이가 달린 녹슨 쇠 망치",Old Denim Jacket,"명품이긴한데 오래되어 낡은 청자켓",Brown Leather Loafer,"연갈색 무광 가죽 로퍼",Brown Short Babyperm,"짙은 갈색의 짧은 베이비 펌 커트 머리",Cross Charm Bracelet,"십자가 모양의 장식이 달린 명품 팔찌",Director,"연출가",Late Night,"마우스 클릭 소리",Karaoke Underground,"오후 9시",Computer Mouse Clicking,"지하 1층의 노래방",Fly,"파리 시체 한 마리"
86,30s,"30대 중반",Shinai,"연습용 죽도",Short Padded Coat,"허리 기장을 맞춘 흰색 숏 패딩 점퍼",White Platform Sneakers,"키높이 흰색 스니커즈",Long Hippie Perm,"장발의 밝은 갈색 히피펌",Nose Piercing,"코 피어싱",Athlete,"운동선수",Morning,"변기 물 내리는 소리",Famous Traditional Market,"오전 9시",Toilet Flush Sound,"지방의 유명 여행지로 유명한 재래 시장",Black Button,"검정색 단추"
87,30s,"30대 중반",Wire Saw,"실처럼 얇은 와이어 톱",Green Hiking Jacket,"연두색/회색 배색의 등산복",Blue Football Boots,"파란색/노란색 배색의 축구화",Two Block Haircut,"왁스로 손질된 검은색 투블럭 머리",Electronics Anklet,"전자 발찌",Firefighter,"소방관",Morning,"사람들의 대화 소리",Karaoke Underground,"오전 9시",People Having Conversation,"지하 1층의 노래방",Ripped Cloth,"찢어진 옷소매"
88,60s,"60대 중반",Fishing Wire,"낚싯줄",Undershirt,"흰색 런닝 셔츠",Black Low Sneakers,"검은색 낮은 운동화",Short Curly Hair,"굵은 파마를 한 옅은 갈색의 숏컷",Thick Chain Nechlace,"은색 굵은 체인 목걸이",Janitor,"경비원",Night,"자동차 브레이크 소리",Back Seats,"오후 6시",Skid Sounds,"검정색 중형 세단의 뒷좌석",Crumpled Cigarette Package,"구겨진 담배갑"
89,30s,"30대 중반",Police Nightstick,"검은색 경찰 곤봉",Charcoal Hoodie,"어두운 회색 후드 티셔츠",Red Football Boots,"빨간색/검은색 배색의 축구화",Low Ponytail,"장발의 낮게 묶은 포니테일",Skull Shaped Ring,"해골 모양으로 조각된 은색 반지",Photographer,"포토그래퍼",Early Morning,"사람들의 대화 소리",Private English Academy,"오전 6시",People Having Conversation,"학원가 건물 5층의 영어 학원",Black Hair,"검정색 머리카락"
90,70s,"70대 후반",Round Edged Stone,"2kg 정도 되는 둥근 돌",Long Field Jacket,"무릎 기장의 카키색 야상 점퍼",Strapped Leather Sandal,"스트랩이 두 개 달려 있는 검정색 가죽 샌들",Mid-long Curly Hair,"중단발의 밝은 갈색 곱슬머리",Silver Stainless Ring,"은색 써지컬 반지",Sanitation Worker,"환경미화원",Night,"핸드폰 알람 소리",Old Studio Apartment,"오후 6시",Phone Alarm Ringing,"원룸촌에 위치한 낡은 원룸",Women`s Underwear,"여자 속옷"
